Category,Evidence,Quality,autoimmune,Parent,Disease,Syn,SNOMED,ConceptID,Profile,pubmed,Citation,prevtype,Prevalence_Description,prevnotes,min_rate,max_rate, denom , us_cases_min ,us_cases_max,us_cases_mean,rateper100k,Antibodies,Rose_Mackay Citation,Pubmed Evidence (incomplete)
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,Granulomatosis with polyangiitis,T,195353004,313223,,https://pubmed.ncbi.nlm.nih.gov/17553910/,Mohammad 2007,P,"11.4 to 20.6 cases per 100,000", The p.p. per million inhabitants was estimated on 1 January 2003 to be 160 (95% confidence interval 114-206) for WG,11.4,20.6," 100,000 "," 37,996 "," 68,660 "," 53,328 ", 16.0 ,,"In their landmark publication in 1954, Godman and Churg concluded that the “microscopic form or periarteritis,” Wegener's granulomatosis, and Churg–Strauss syndrome are pathologically and clinically distinct from PAN, and probably have a related etiology and pathogenesis. This concept has been borne out by the discovery that microscopic polyangiitis, Wegener's granulomatosis, and Churg–Strauss syndrome are associated with, and are probably caused by, antineutrophil cytoplasmic autoantibodies (ANCAs), whereas PAN is not (Jennette and Falk, 1997; Jennette et al., 2013a). These forms of ANCA-associated vasculitis (AAV) now are designated microscopic polyangiitis (MPA), granulomatosis with polyangiitis (GPA), and eosinophilic granulomatosis with polyangiitis (EGPA).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,Wegener's Granulomatosis,S,195353004,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,Antineutrophil cytoplasmic antibody positive vasculitis,N,722191003,42535714,"Anti-neutrophil cytoplasmic antibody (ANCA)-associated vasculitis (AAV) is a group of diseases characterized by destruction and inflammation of small vessels. The clinical signs vary and affect several organs, such as the kidney, stomach, intestine, and lung. Skin symptoms like purpura (small purple spots) may appear when small blood vessels leak under the skin. AAV occurs when the immune system produces ANCAs, which mistakenly activate neutrophils, a type of white blood cell. These activated neutrophils damage the lining of blood vessels. Though the mechanism of damage is understood, the triggers that lead to AAV are unknown.",https://pubmed.ncbi.nlm.nih.gov/28881446/,Berti 2017,P,"4.6 to 18.4 cases per 100,000","prevalence of 4.6-18.4 cases per 100,000 individuals",4.6,18.4," 100,000 "," 15,332 "," 61,327 "," 38,330 ", 11.5 ,T cells with specificity for ANCA antigens are present,"T cells with specificity for ANCA antigens are present in patients with ANCA vasculitis (Griffith et al., 1996; Clayton and Savage, 2000). T cells are probably involved in the immunogenesis of the autoimmune response, but their role in the pathogenesis of injury is unknown.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,ANCA vasculitis,S,722191003,42535714,,https://pubmed.ncbi.nlm.nih.gov/28881446/,Berti 2017,P,"4.6 to 18.4 cases per 100,000","prevalence of 4.6-18.4 cases per 100,000 individuals",4.6,18.4," 100,000 "," 15,332 "," 61,327 "," 38,330 ", 11.5 ,T cells with specificity for ANCA antigens are present,"T cells with specificity for ANCA antigens are present in patients with ANCA vasculitis (Griffith et al., 1996; Clayton and Savage, 2000). T cells are probably involved in the immunogenesis of the autoimmune response, but their role in the pathogenesis of injury is unknown.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,Eosinophilic granulomatosis with polyangiitis,T,722191003,4305666,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,ANCA-associated vasculitis,S,722191003,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,Anti-neutrophil cytoplasmic antibody-associated vasculitis,S,722191003,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,Churg Strauss syndrome,S,82275008,,,,,,,,,,,0,0,0, -   ,,,
Blood,Antibody,Strong,Autoimmune,Antiphospholipid syndrome,Antiphospholipid syndrome,N,26843008,4098292,"Antiphospholipid syndrome occurs when the immune system attacks some of the normal proteins in the blood. 

There's no cure for antiphospholipid syndrome, but medications can reduce the risk of blood clots.",https://pubmed.ncbi.nlm.nih.gov/24461539/,Gómez-Puerta 2014,P,"40.0 to 50.0 cases per 100,000","40-50 cases per 100,000 persons.",40,50," 100,000 "," 133,320 "," 166,650 "," 149,985 ", 45.0 ,Beta-2 glycoprotein I,"Although the prevalent paradigm that explains autoimmunity in APS patients is the incomplete deletion of autoreactive T cells, Kriegel et al. (2004) demonstrated that patients with this disease exhibit a defective Treg function. Antibodies against antigenic enzymes common to ovary and adrenal gland include: cytochrome P450 side-chain cleavage enzyme (P450SCC), 17-α hydroxylase/17, 20-lyase (CYP17A1), and 21-hydroxylase (CYP21). Indirect immunofluorescence on frozen adrenal gland sections, and CYP21 antibody detection by radioimmunoassays are sensitive diagnostic tests (Falorni et al., 2002a,b; Dal Pra et al., 2003). The theca cells of preantral and antral follicles are the main targets in some POI cases.  

The Autoimmune Diseases . Elsevier Science. Kindle Edition. The aPL comprise more than 20 different autoantibodies, of which just three serve as diagnostic criteria for APS. The pathogenic effects of these antibodies are exerted through binding to various cells, including monocytes, endothelial cells, and trophoblasts, leading to the recruitment of cell surface receptors and subsequent perturbation of intracellular signaling pathways (Blank et al., 1991; Giannakopoulos and Krilis 2013).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",autoantibody to SOX9 and SOX10 was reported in patients with type 1 APS and vitiligo
Blood,Antibody,Strong,Autoimmune,Antiphospholipid syndrome,aCL syndrome,S,26843008,,,,,,,,,,,0,0,0, -   ,,,
Blood,Antibody,Strong,Autoimmune,Antiphospholipid syndrome,Anticardiolipin antibody syndrome,S,26843008,,,,,,,,,,,0,0,0, -   ,,,
Blood,Antibody,Strong,Autoimmune,Antiphospholipid syndrome,Hughes syndrome,S,26843008,,"Antiphospholipid syndrome occurs when the immune system attacks some of the normal proteins in the blood. There's no cure for antiphospholipid syndrome, but medications can reduce the risk of blood clots.
",https://pubmed.ncbi.nlm.nih.gov/24461539/,Gómez-Puerta 2014,P,"40.0 to 50.0 cases per 100,000","40-50 cases per 100,000 persons.",40,50," 100,000 "," 133,320 "," 166,650 "," 149,985 ", 45.0 ,Beta-2 glycoprotein I,"Although the prevalent paradigm that explains autoimmunity in APS patients is the incomplete deletion of autoreactive T cells, Kriegel et al. (2004) demonstrated that patients with this disease exhibit a defective Treg function. Antibodies against antigenic enzymes common to ovary and adrenal gland include: cytochrome P450 side-chain cleavage enzyme (P450SCC), 17-α hydroxylase/17, 20-lyase (CYP17A1), and 21-hydroxylase (CYP21). Indirect immunofluorescence on frozen adrenal gland sections, and CYP21 antibody detection by radioimmunoassays are sensitive diagnostic tests (Falorni et al., 2002a,b; Dal Pra et al., 2003). The theca cells of preantral and antral follicles are the main targets in some POI cases.  

The Autoimmune Diseases . Elsevier Science. Kindle Edition. The aPL comprise more than 20 different autoantibodies, of which just three serve as diagnostic criteria for APS. The pathogenic effects of these antibodies are exerted through binding to various cells, including monocytes, endothelial cells, and trophoblasts, leading to the recruitment of cell surface receptors and subsequent perturbation of intracellular signaling pathways (Blank et al., 1991; Giannakopoulos and Krilis 2013).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",autoantibody to SOX9 and SOX10 was reported in patients with type 1 APS and vitiligo
Blood,Antibody,Strong,Autoimmune,Antiphospholipid syndrome,Lupus anticoagulant syndrome,S,26843008,,,,,,,,,,,0,0,0, -   ,,,
Systemic,Antibody,Strong,Autoimmune,Antisynthetase syndrome,Antisynthetase syndrome,N,445187004,40482477,"Antisynthetase syndrome is sometimes an autoimmune form of myositis in which antibodies destroy <b>tRNA synthetase</b>, an enzyme that is essential for the creation of important proteins used throughout the body.  When that enzyme is destroyed, proteins that the body needs are not produced, and most noteably, proteins used to power the muscles. The result is muscle weakness, but since there are many proteins affected by the loss of tRNA synthetase, it can also impact the lungs and other parts of the body. 

The trigger for antisynthetase syndrome is unknown, but it may be associated with viral infection.  Patients with antisynthetase syndrome commonly experience muscle inflammation, lung disease, and joint inflammation.  This condition is seen twice as often in women than in men and typically occurs in middle age. This is a chronic disease with no cure, and disease severity and prognosis varies by individual.  Patients who only experience muscle symptoms can manage the condition well with treatment.  However, prognosis is poor for patients who develop progressive interstitial lung disease.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5394574/,Cojocaru 2016,P,"3.0 to 4.0 cases per 100,000","US Cases: ~3,200 - 28,800Source: orphanet",3,4," 100,000 "," 9,999 "," 13,332 "," 11,666 ", 3.5 ,antibodies to aminoacyl tRNA synthetases,"...antibodies recognizing aminoacyl tRNA synthetases are frequently associated with the “synthetase syndrome,” a clinical syndrome with relatively mild myositis, Raynaud's phenomenon, inflammatory arthritis of the small joints of the hands (mechanic's hands), and interstitial lung disease of variable severity (Friedman et al., 1996).

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Systemic,Antibody,Strong,Autoimmune,Antisynthetase syndrome,Anti-Jo1 syndrome,S,445187004,,,,,,,,,,,0,0,0, -   ,,,
Blood,TCELL,Strong,Autoimmune,Aplastic anemia,Aplastic anemia,N,306058006,137829,"Aplastic anemia is a rare and serious blood disorder that occurs when the body's bone marrow cannot make enough new red blood cells, impacting the body's ability to function normally. Aplastic anemia can progress at varying speeds and range from mild to severe. Currently, there's no known method to prevent it. This condition is caused by damage to stem cells inside the bone marrow, which is the sponge-like tissue within the bones. The immune system attacks and destroys and, as a result, the bone marrow makes fewer red blood cells, white blood cells, and platelets. This bone marrow damage is caused by the immune system attacking and destroying the stem cells within the bone marrow. Other causes of aplastic anemia include some medicine and exposure to environmental toxins or chemicals.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5622852/,Vaht 2017,P,"2.35 cases per 1,000,000",,2.35,," 1,000,000 ", 783 , 783 , 783 , 0.2 ,cytotoxic T cells,"The response to immunosuppressive therapy was the first clear evidence that aplastic anemia was truly an autoimmune disease.
",
Skin,Antibody Suspected,Unconfirmed,Autoimmune,Autoimmune angioedema,Autoimmune angioedema,N,402401003,4224624,"Angioedema is swelling of the tissue just beneath the skin, including the face, lips, tongue, limbs, or genitals. People with Autoimmune Angioedema can have edema of the lining of the digestive tract, which can cause abdominal pain and nausea, as well as edema of the upper airway, which can be life-threatening. ",https://www.ncbi.nlm.nih.gov/books/NBK430889/,Swanson 2020,P,".2 to 1.0 cases per 100,000",,0.2,1," 100,000 ", 667 ," 3,333 "," 2,000 ", 0.6 ,,Posslbly a symptom of underlying AD,
Skin,Antibody Suspected,Unconfirmed,Autoimmune,Autoimmune angioedema,Acquired angiodema,S,402401003,,,,,,,,,,,0,0,0, -   ,,,
All,Antibody,Strong,Autoimmune,Autoimmune disease,Autoimmune disease,G,85828009,434621,,,,,,,,,,15500000,15500000,15500000," 4,650.5 ",,,
Nervous System,Immune-mediated,Moderate,Autoimmune,Autoimmune disorder of inner ear,Ménière's disease,V,13445001,79833,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Immune-mediated,Moderate,Autoimmune,Autoimmune disorder of inner ear,Autoimmune disorder of inner ear,N,232308006,4337463,"Autoimmune inner ear disease (AIED) is a condition characterized by inflammation of the inner ear. It happens when the immune system mistakenly targets cells in the inner ear as if they were a virus or bacteria. AIED is uncommon, affecting fewer than one percent of the 28 million Americans with hearing loss. The symptoms of AIED are sudden hearing loss in one ear progressing rapidly to the second ear. The hearing loss can progress over weeks or months. It can happen alone or in addition to other systemic autoimmune disorders.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5113311/,Vambutas 2016,P,"15.0 cases per 100,000",,15,," 100,000 "," 49,995 "," 49,995 "," 49,995 ", 15.0 ,inner ear-specific IFN-γ producing T cells,"Autoantibodies and autoreactive T cells have been implicated in the etiopathogenesis of idiopathic of sensorineural hearing loss  (Yehudai et al., 2006). Different antibodies directed either against inner ear-specific or widely distributed autoantigens have been described in patients with SNHL of unknown origin.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",https://pubmed.ncbi.nlm.nih.gov/?term=AIED+is+a+rare+autoimmune&sort=date
Nervous System,Antibody,Moderate,Autoimmune,Autoimmune encephalitis,Autoimmune encephalitis,N,95643007,4318558,"Autoimmune encephalitis occurs when the body's immune system attacks healthy brain cells, causing neurologic and/or psychiatric impairments. 
",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6011827/,Dubey 2018,P,"13.7 cases per 100,000",,13.7,," 100,000 "," 45,662 "," 45,662 "," 45,662 ", 13.7 ,,Not a clear diagnosis,
Nervous System,Antibody,Moderate,Autoimmune,Autoimmune encephalitis,Bickerstaff's brainstem encephalitis,T,427086003,4141686,,https://pubmed.ncbi.nlm.nih.gov/23777102/,Koga 2013,P,Extremely rare," Extremely rare, no published data ",,, -   , 50 , 50 , 50 , 0.0 ,anti-GQ1b IgG antibody,Serum anti‐GQ1b IgG antibody was positive in 66%  - Odaka 2003,
Nervous System,Antibody,Moderate,Autoimmune,Autoimmune encephalitis,Bickerstaff encephalitis,S,427086003,,,,,,,,,,,0,0,0, -   ,,,
