Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Nervous System,Chronic Fatigue Syndrome,Chronic Fatigue Syndrome,Myalgic encephalomyelitis,,,52702003,432738,"The autoimmune nature of chronic fatigue syndrome is still unknown but the syndrome often arises as a symptom in patients with autoimmune disorders. Chronic fatigue syndrome, also becoming known as myalgic encephalomyelitis, can be classified as extreme fatigue, tiredness and weakness, that lasts for at least 6 months and worsens with physical or mental activity without improvement from rest. 

The cause of this syndrome is unknown, however, researchers believe that it may be caused by a combination of factors such as genetics, infections, physical or emotional trauma, and/or problems with energy usage. Although symptoms can come and go, it may be difficult for some individuals to maintain a regular schedule or to live independently, as some people may be too weak to get out of bed and others may need to use a wheelchair.",
Systemic,Endometriosis,Endometriosis,N,,,129103003,433527,"A disorder where the tissue that normally lines the uterus grows outside of the uterus. The tissue can grow on the ovaries, fallopian tubes, outer wall of the uterus, intestines, or other organs in the belly. ",
Nervous System,Intermediate uveitis,Pars planitis,T,,,45688009,434026,,
All,Autoimmune disease,Autoimmune disease,G,,,85828009,434621,,
Nervous System,Scleritis,Scleritis,N,,,78370002,434944,"Scleritis is an inflammation of the white tissue, the sclera, that surrounds most of the eye. Though scleritis is a symptom of a number of autoimmune diseases, it is suspected of being an autoimmune disease itself.  ",
Nervous System,Mooren's ulcer,Mooren's ulcer,N,,,22440001,435271,"Mooren's Ulcer is a chronic eye condition that causes inflammation where the eye's covering (cornea) joins with the white part of the eye (sclera).  This type of inflammation is called Peripheral Ulcerative Keratitis (PUK).  These persistent peripheral ulcers of the cornea often spread into and around the eye. There are several variants of this disorder:  Aggressive Bilateral Mooren's Ulcers patients usually have an ulcer in one eye and congestion or discharge in the other eye. Pain is milder, and grey patches may develop within 2 mm of the border between the cornea and the white of the eye (limbus). Bilateral Indolent Mooren's Ulcers affect both eyes, with one eye typically showing more severity.  Discomfort may occur with minimal inflammation.  Unilateral Mooren's ulcers can occur in one or both eyes and is excessively painful.  Redness and congestion are apparent, but inflammation is seen within 3 mm of the limbus.    Mooren's Ulcer is believed to be an autoimmune disorder, but more research is needed.  The condition can be benign, with few symptoms and low risk of complications, or malignant, with severe symptoms.  Without medical care, malignant cases may lead to vision loss, but treatments are available to prevent this.",
Glands,Addison's disease,Adrenal cortical hypofunction,V,,,386584007,435508,,adrenal cortical antibodies—ACA
Vascular system,Behçet's syndrome,Behçet's syndrome,Behcet's syndrome,,,310701003,436642,"Behçet's syndrome is a chronic inflammatory disease that leads to mass inflammation in the blood vessels of the body which results in artery and vein damage. Many of the symptoms can seem unrelated at first, such as mouth sores, eye inflammation, skin rashes, etc, however, symptoms vary from person to person and varies depending on the body parts that are affected. Unfortunately, Behçet’s syndrome can lead to more serious complications such as blindness.

This disease is not well understood but is believed to be autoimmune in nature since the symptoms are due to vasculitis. Researchers have also found several genes to be associated with Behçet’s and believe that those with these genes can trigger Behçet’s if they are exposed to a virus or bacterium.","autoantibodies to tropomyosin 48063, Antibodies to protein S 32422"
Blood,Evans syndrome,Evans syndrome,N,,,75331009,436956,"A rare autoimmune disorder that is a combination of two or more immune hematological disorders in which the immune system destroys the body's red blood cells, white blood cells and/or platelets. 

The disorder resembles a combination of autoimmune hemolytic anemia, thrombocytopenia (too few platelets), and/or neutropenia (too few neutrophils).


",
Musculoskeletal,Ankylosing spondylitis,Ankylosing spondylitis,N,,,9631008,437082,"Ankylosing spondylitis, a form of arthritis, triggers inflammation in the spine's joints and ligaments, potentially extending to peripheral joints such as knees, ankles, and hips. Typically, these spinal joints and ligaments facilitate movement and flexibility. However, in ankylosing spondylitis, inflammation can induce stiffness. In severe instances, this inflammation may prompt the vertebrae to fuse together, resulting in a rigid and immobile spine. Although there's no cure, various treatments can manage symptoms effectively. These may encompass exercises, physical or occupational therapy to enhance mobility and posture, and medications to alleviate pain, reduce inflammation, improve posture, and slow disease progression. With appropriate treatment, individuals with ankylosing spondylitis can lead fulfilling lives.",
Nervous System,Cataplexy and narcolepsy,Cataplexy and narcolepsy,N,,,193042000,437854,"Narcolepsy is a neurologic condition that causes a person to experience extreme sleepiness during the day without warning. When combined with cataplexy, a similar onset of muscle weakness, the condition is sometimes called narcolepsy type 1 and is suspected of being caused when the immune system attacks an important chemical in brain cells called hypocretin. The destruction of this chemical leads to the symptoms experienced by patients.

The first reports of narcolepsy being an autoimmune disease came in 2013, but retraction of that paper in 2014 put its status in doubt. Subsequent research and identification of the molecular mechanism by Mahoney et al. provides evidence and justifies classification as an autoimmune disease. ",
Systemic,Sarcoidosis,Sarcoidosis,N,,,31541009,438688,"One way the immune system works is to surround an invader and keep it from harming the body. Those small clumps of immune system cells are called granulomas and they form as part of the body's inflammation response to foreign, potentially harmful, substances. 

In sarcoidosis the inflammation process gets out of control, and granulomas form even though there is no foreign substance, and the number of granulomas increases. When left untreated, the granulomas harden and produce permanent scars, usually in the lungs but they can occur in other organs and tissues.  

The symptoms of sarcoidosis depend on where the granulomas form.   In some cases, the disease goes away on its own. In others, the disease may not progress clinically but individuals will still suffer from some symptoms that affect their quality of life. Up to a third of people diagnosed will require long-term treatment. Sarcoidosis is considered chronic in people whose disease remains active for more than 2-5 years; chronic sarcoidosis can be debilitating and life-threatening. 

Sarcoidosis often starts with a set of symptoms collectively referred to as Lofgren's Syndrome (see below).",
